created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Jan 20 09:45:30 +0000 2024;1748642899955527951;@5t3v3n_P3g3L Pajak dinaikkan Pertalite dihilangkan Semua utk membiayai IKN dan defisit KCIC.;0;0;0;2;in;1611933612;1748608843209155014;setyoprihandono;https://twitter.com/setyoprihandono/status/1748642899955527951
Sat Jan 20 09:43:50 +0000 2024;1748642480831246776;@kartarahardja Memang panutanmu siapa sih?.. Jangan2  Islam mu cuma di KTP..?;0;0;0;0;in;1138777550887383048;1748317972761026871;ikn_bul;https://twitter.com/ikn_bul/status/1748642480831246776
Sat Jan 20 09:43:47 +0000 2024;1748642469749903392;@aniesbaswedan @olpproject @tempodotco @BAWASLU_BEKASI @gajelaslopada MetLand Tambun, Bekasi mjd tempat yg katanya (ortunya) Gen Milenial &amp  Z, Relawan PakTUA-Bayi Nepotisme.  Selain itu, Ciputra pemilik MetLand, adalah pendukung IKN. Woy @BAWASLU_BEKASI berani bahas fakta ini/ga?  PENCULIKAN VIDEOTRON @olpproject terkait keberpihakan Politik toh? https://t.co/56mnxD1cIz;0;0;0;1;in;1740661889045233664;1747506589945491729;IrwanK_egen;https://twitter.com/IrwanK_egen/status/1748642469749903392
Sat Jan 20 09:43:08 +0000 2024;1748642306197250174;4 Perusahaan Jepang Tertarik Kembangkan Bandara Pintu Masuk IKN https://t.co/nUwhaqjGgk;0;0;0;0;in;305657272;1748642306197250174;ilhamiasnawi;https://twitter.com/ilhamiasnawi/status/1748642306197250174
Sat Jan 20 09:39:34 +0000 2024;1748641408058278128;@kumparan Wow dana dari mana? Kan udah habis buat susu dan makan siang gratis pak. Belum lagi IKN. Apa dari pajak motor bensin?;0;0;1;1;in;1461441872;1748609827658678455;bukan_ustad;https://twitter.com/bukan_ustad/status/1748641408058278128
Sat Jan 20 09:38:54 +0000 2024;1748641240227385599;@MasFurqon15 Duitnya darimana...APBN saja mulai digerus IKN;0;0;0;1;in;1663159365120196608;1748639978161123495;Ardhea915850;https://twitter.com/Ardhea915850/status/1748641240227385599
Sat Jan 20 09:36:26 +0000 2024;1748640618308317407;@Creaminallll @1114yu_Kuro @BangPino__ Tol becakkayu aja tiang pancang udah puluhan tahun sampe akhirnya jadi tol becakkayu.. Kebayang kalo ikn dengan kondisi kaya sekrng ngga dituntaskan, kapan jadinya;0;0;0;0;in;1322378841751347200;1747130588170252745;Pads18072624;https://twitter.com/Pads18072624/status/1748640618308317407
Sat Jan 20 09:34:35 +0000 2024;1748640152933790111;@ferrymmp @catquean Dengan stop politik dynasty aja udah terobosan. Belum stop IKN, stop food estate, uangnya untuk memajukan pendidikan. Udah banyak itu terobosan.;0;0;0;19;in;1266023271884976132;1748514520291787097;__Lemilion;https://twitter.com/__Lemilion/status/1748640152933790111
Sat Jan 20 09:31:46 +0000 2024;1748639443714744452;peningkatan investasi khususnya bangunan sejalan dengan berlanjutnya pembangunan PSN termasuk Ibu Kota Nusantara (IKN).  #EKonomi #PerekonomianNasional #IndonesiaMaju #IndonesiaKuat;0;0;0;0;in;1035553643284426752;1748639443714744452;indonesiawow45;https://twitter.com/indonesiawow45/status/1748639443714744452
Sat Jan 20 09:30:09 +0000 2024;1748639039526465730;Ini naik cuma buat IKN mah fak kata gw teh;0;0;0;0;in;125221933;1748638921310048760;ItsMeHexa;https://twitter.com/ItsMeHexa/status/1748639039526465730
Sat Jan 20 09:29:05 +0000 2024;1748638768012427377;⚠️⚠️⚠️ Food estate, IKN, Kendeng, Pakel, Tumpang Pitu, Papua, Geotherman Dieng, Rob Semarang, Asap Jakarta, Wadas, Tamansari, Dago Elos, Rempang, Urutsewu, Tambang Emas Trenggalek, NYIA... https://t.co/f2fpPMopB4;2;1;7;9;in;781912591606042624;1748638768012427377;fnksdajogja;https://twitter.com/fnksdajogja/status/1748638768012427377
Sat Jan 20 09:27:17 +0000 2024;1748638314955940137;#Repost @kementerian.atrbpn ... Menteri Agraria dan Tata Ruang/Kepala Badan Pertanahan Nasional (ATR/BPN), Hadi Tjahjanto mendampingi Presiden RI, Joko Widodo dalam rangkaian peletakan batu pertama atau groundbreaking serta peninjauan pembangunan Ibu Kota Nusantara (IKN) https://t.co/JLX5obq8Jn;0;0;0;0;in;1281583127358402561;1748638314955940137;kantahmorotai;https://twitter.com/kantahmorotai/status/1748638314955940137
Sat Jan 20 09:26:31 +0000 2024;1748638123003916707;@CNNIndonesia Bloomberg ini yg dulu menyebut ikn berantakan. Benar atau tidak mari buktikan;0;0;0;0;in;1626970658;1748529956035207188;samsul__arifin;https://twitter.com/samsul__arifin/status/1748638123003916707
